year,global_avg,city_avg,7mavg_global,7mavg_city
1796,8.27,25.03,,
1797,8.51,26.71,,
1798,8.67,24.29,,
1799,8.51,25.28,,
1800,8.48,25.21,,
1801,8.59,24.22,,
1802,8.58,25.63,8.515714286,25.19571429
1803,8.5,25.38,8.548571429,25.24571429
1804,8.84,25.68,8.595714286,25.09857143
1805,8.56,25.3,8.58,25.24285714
1806,8.43,25.22,8.568571429,25.23428571
1807,8.28,24.97,8.54,25.2
1813,7.74,24.56,8.418571429,25.24857143
1814,7.59,23.73,8.277142857,24.97714286
1815,7.24,24.09,8.097142857,24.79285714
1816,6.94,23.7,7.825714286,24.51
1817,6.98,23.86,7.6,24.30428571
1818,7.83,24.37,7.514285714,24.18285714
1819,7.37,23.9,7.384285714,24.03
1820,7.62,24.12,7.367142857,23.96714286
1821,8.09,24.83,7.438571429,24.12428571
1822,8.19,24.93,7.574285714,24.24428571
1823,7.72,24.63,7.685714286,24.37714286
1824,8.55,25.3,7.91,24.58285714
1825,8.39,25.11,7.99,24.68857143
1826,8.36,25.12,8.131428571,24.86285714
1827,8.81,25.36,8.301428571,25.04
1828,8.17,24.9,8.312857143,25.05
1829,7.94,24.71,8.277142857,25.01857143
1830,8.52,25.07,8.391428571,25.08142857
1831,7.64,24.43,8.261428571,24.95714286
1832,7.45,24.62,8.127142857,24.88714286
1833,8.01,24.85,8.077142857,24.84857143
1834,8.15,24.82,7.982857143,24.77142857
1835,7.39,23.9,7.871428571,24.62857143
1836,7.7,24.54,7.837142857,24.60428571
1837,7.38,24.42,7.674285714,24.51142857
1838,7.51,24.38,7.655714286,24.50428571
1839,7.63,24.45,7.681428571,24.48
1840,7.8,24.72,7.651428571,24.46142857
1841,7.69,24.49,7.585714286,24.41428571
1842,8.02,24.78,7.675714286,24.54
1843,8.17,24.75,7.742857143,24.57
1844,7.65,24.36,7.781428571,24.56142857
1845,7.85,24.6,7.83,24.59285714
1846,8.55,25.16,7.961428571,24.69428571
1847,8.09,24.66,8.002857143,24.68571429
1848,7.98,24.45,8.044285714,24.68
1849,7.98,24.49,8.038571429,24.63857143
1850,7.9,24.78,8,24.64285714
1851,8.18,24.76,8.075714286,24.7
1852,8.1,24.65,8.111428571,24.70714286
1853,8.04,24.88,8.038571429,24.66714286
1854,8.21,25.02,8.055714286,24.71857143
1855,8.11,25.24,8.074285714,24.83142857
1856,8,23.86,8.077142857,24.74142857
1857,7.76,24.3,8.057142857,24.67285714
1870,8.2,24.89,8.06,24.69142857
1871,8.12,24.88,8.062857143,24.72428571
1872,8.19,24.94,8.084285714,24.73285714
1873,8.35,25.06,8.104285714,24.73857143
1874,8.43,24.25,8.15,24.59714286
1875,7.86,25.38,8.13,24.81428571
1876,8.08,24.93,8.175714286,24.90428571
1877,8.54,25.08,8.224285714,24.93142857
1878,8.83,25.18,8.325714286,24.97428571
1879,8.17,24.86,8.322857143,24.96285714
1880,8.12,25.45,8.29,25.01857143
1881,8.27,25.09,8.267142857,25.13857143
1882,8.13,24.89,8.305714286,25.06857143
1883,7.98,24.82,8.291428571,25.05285714
1884,7.77,24.67,8.181428571,24.99428571
1885,7.92,24.38,8.051428571,24.88
1886,7.95,24.89,8.02,24.88428571
1887,7.91,24.9,7.99,24.80571429
1888,8.09,24.88,7.964285714,24.77571429
1889,8.32,25.21,7.991428571,24.82142857
1890,7.97,25.06,7.99,24.85571429
1891,8.02,24.68,8.025714286,24.85714286
1892,8.07,25.49,8.047142857,25.01571429
1893,8.06,23.84,8.062857143,24.86571429
1894,8.16,24.74,8.098571429,24.84285714
1895,8.15,25.15,8.107142857,24.88142857
1896,8.21,25.83,8.091428571,24.97
1897,8.29,25.39,8.137142857,25.01714286
1898,8.18,25.55,8.16,25.14142857
1899,8.4,25.86,8.207142857,25.19428571
1900,8.5,25.56,8.27,25.44
1901,8.54,25.49,8.324285714,25.54714286
1902,8.3,25.66,8.345714286,25.62
1903,8.22,25.14,8.347142857,25.52142857
1904,8.09,25.07,8.318571429,25.47571429
1905,8.23,24.75,8.325714286,25.36142857
1906,8.38,25.17,8.322857143,25.26285714
1907,7.95,25.02,8.244285714,25.18571429
1908,8.19,25.14,8.194285714,25.13571429
1909,8.18,24.75,8.177142857,25.00571429
1910,8.22,24.81,8.177142857,24.95857143
1911,8.18,25.36,8.19,25
1912,8.17,25.25,8.181428571,25.07142857
1913,8.3,24.94,8.17,25.03857143
1914,8.59,25.12,8.261428571,25.05285714
1915,8.59,25.73,8.318571429,25.13714286
1916,8.23,25.07,8.325714286,25.18285714
1917,8.02,23.84,8.297142857,25.04428571
1918,8.13,25.28,8.29,25.03285714
